Unique Id,indicator_id,geo_type_id,measurement_type_id,internal_id,subtopic_id,name,Measure,geo_type_name,description,geo_entity_id,geo_entity_name,year_description,data_value_heart,geo_entity_id,geo_entity_name,year_description,data_value_NO,geo_entity_id,geo_entity_name,year_description,data_value_PM
75609,172,3,125,90,13,Heart Attack Hospitalizations,Age-Adjusted Rate - Adults 35 to 64 Yrs Old,UHF42,Neighborhood (UHF 42),302,Central Harlem - Morningside Heights,2009,14.6,302,Central Harlem - Morningside Heights,Annual Average 2009,31.06,302,Central Harlem - Morningside Heights,Annual Average 2009,11.6
75610,172,3,125,90,13,Heart Attack Hospitalizations,Age-Adjusted Rate - Adults 35 to 64 Yrs Old,UHF42,Neighborhood (UHF 42),303,East Harlem,2009,20.5,303,East Harlem,Annual Average 2009,29.9,303,East Harlem,Annual Average 2009,11.55
75611,172,3,125,90,13,Heart Attack Hospitalizations,Age-Adjusted Rate - Adults 35 to 64 Yrs Old,UHF42,Neighborhood (UHF 42),304,Upper West Side,2009,5.8,304,Upper West Side,Annual Average 2009,31.95,304,Upper West Side,Annual Average 2009,12.18
75612,172,3,125,90,13,Heart Attack Hospitalizations,Age-Adjusted Rate - Adults 35 to 64 Yrs Old,UHF42,Neighborhood (UHF 42),305,Upper East Side,2009,7.2,305,Upper East Side,Annual Average 2009,34.29,305,Upper East Side,Annual Average 2009,12.88
75613,172,3,125,90,13,Heart Attack Hospitalizations,Age-Adjusted Rate - Adults 35 to 64 Yrs Old,UHF42,Neighborhood (UHF 42),306,Chelsea - Clinton,2009,6.7,306,Chelsea - Clinton,Annual Average 2009,39.87,306,Chelsea - Clinton,Annual Average 2009,14.24
75614,172,3,125,90,13,Heart Attack Hospitalizations,Age-Adjusted Rate - Adults 35 to 64 Yrs Old,UHF42,Neighborhood (UHF 42),307,Gramercy Park - Murray Hill,2009,5,307,Gramercy Park - Murray Hill,Annual Average 2009,43.32,307,Gramercy Park - Murray Hill,Annual Average 2009,15.03
75615,172,3,125,90,13,Heart Attack Hospitalizations,Age-Adjusted Rate - Adults 35 to 64 Yrs Old,UHF42,Neighborhood (UHF 42),308,Greenwich Village - SoHo,2009,5.4,308,Greenwich Village - SoHo,Annual Average 2009,34.75,308,Greenwich Village - SoHo,Annual Average 2009,12.75
75616,172,3,125,90,13,Heart Attack Hospitalizations,Age-Adjusted Rate - Adults 35 to 64 Yrs Old,UHF42,Neighborhood (UHF 42),309,Union Square - Lower East Side,2009,11.2,309,Union Square - Lower East Side,Annual Average 2009,32.71,309,Union Square - Lower East Side,Annual Average 2009,12.08
75617,172,3,125,90,13,Heart Attack Hospitalizations,Age-Adjusted Rate - Adults 35 to 64 Yrs Old,UHF42,Neighborhood (UHF 42),310,Lower Manhattan,2009,8.2,310,Lower Manhattan,Annual Average 2009,36.69,310,Lower Manhattan,Annual Average 2009,13.06
75618,172,3,125,90,13,Heart Attack Hospitalizations,Age-Adjusted Rate - Adults 35 to 64 Yrs Old,UHF42,Neighborhood (UHF 42),401,Long Island City - Astoria,2009,13.4,401,Long Island City - Astoria,Annual Average 2009,26.29,401,Long Island City - Astoria,Annual Average 2009,11.4
75619,172,3,125,90,13,Heart Attack Hospitalizations,Age-Adjusted Rate - Adults 35 to 64 Yrs Old,UHF42,Neighborhood (UHF 42),402,West Queens,2009,12.3,402,West Queens,Annual Average 2009,25.81,402,West Queens,Annual Average 2009,10.99
75620,172,3,125,90,13,Heart Attack Hospitalizations,Age-Adjusted Rate - Adults 35 to 64 Yrs Old,UHF42,Neighborhood (UHF 42),403,Flushing - Clearview,2009,9.3,403,Flushing - Clearview,Annual Average 2009,22.68,403,Flushing - Clearview,Annual Average 2009,10.16
75621,172,3,125,90,13,Heart Attack Hospitalizations,Age-Adjusted Rate - Adults 35 to 64 Yrs Old,UHF42,Neighborhood (UHF 42),404,Bayside - Little Neck,2009,5.7,404,Bayside - Little Neck,Annual Average 2009,20.05,404,Bayside - Little Neck,Annual Average 2009,9.72
75622,172,3,125,90,13,Heart Attack Hospitalizations,Age-Adjusted Rate - Adults 35 to 64 Yrs Old,UHF42,Neighborhood (UHF 42),405,Ridgewood - Forest Hills,2009,15.2,405,Ridgewood - Forest Hills,Annual Average 2009,24.06,405,Ridgewood - Forest Hills,Annual Average 2009,10.44
75623,172,3,125,90,13,Heart Attack Hospitalizations,Age-Adjusted Rate - Adults 35 to 64 Yrs Old,UHF42,Neighborhood (UHF 42),406,Fresh Meadows,2009,14.2,406,Fresh Meadows,Annual Average 2009,22.78,406,Fresh Meadows,Annual Average 2009,10
75624,172,3,125,90,13,Heart Attack Hospitalizations,Age-Adjusted Rate - Adults 35 to 64 Yrs Old,UHF42,Neighborhood (UHF 42),407,Southwest Queens,2009,24.4,407,Southwest Queens,Annual Average 2009,22.93,407,Southwest Queens,Annual Average 2009,9.96
75625,172,3,125,90,13,Heart Attack Hospitalizations,Age-Adjusted Rate - Adults 35 to 64 Yrs Old,UHF42,Neighborhood (UHF 42),408,Jamaica,2009,21.7,408,Jamaica,Annual Average 2009,22.29,408,Jamaica,Annual Average 2009,9.95
75626,172,3,125,90,13,Heart Attack Hospitalizations,Age-Adjusted Rate - Adults 35 to 64 Yrs Old,UHF42,Neighborhood (UHF 42),409,Southeast Queens,2009,15.4,409,Southeast Queens,Annual Average 2009,19.89,409,Southeast Queens,Annual Average 2009,9.35
75627,172,3,125,90,13,Heart Attack Hospitalizations,Age-Adjusted Rate - Adults 35 to 64 Yrs Old,UHF42,Neighborhood (UHF 42),410,Rockaways,2009,12.8,410,Rockaways,Annual Average 2009,14.68,410,Rockaways,Annual Average 2009,8.75
75628,172,3,125,90,13,Heart Attack Hospitalizations,Age-Adjusted Rate - Adults 35 to 64 Yrs Old,UHF42,Neighborhood (UHF 42),501,Port Richmond,2009,21.3,501,Port Richmond,Annual Average 2009,21.35,501,Port Richmond,Annual Average 2009,10.22
75629,172,3,125,90,13,Heart Attack Hospitalizations,Age-Adjusted Rate - Adults 35 to 64 Yrs Old,UHF42,Neighborhood (UHF 42),502,Stapleton - St. George,2009,18.1,502,Stapleton - St. George,Annual Average 2009,18.41,502,Stapleton - St. George,Annual Average 2009,9.63
75630,172,3,125,90,13,Heart Attack Hospitalizations,Age-Adjusted Rate - Adults 35 to 64 Yrs Old,UHF42,Neighborhood (UHF 42),503,Willowbrook,2009,14.9,503,Willowbrook,Annual Average 2009,17.49,503,Willowbrook,Annual Average 2009,10.1
75631,172,3,125,90,13,Heart Attack Hospitalizations,Age-Adjusted Rate - Adults 35 to 64 Yrs Old,UHF42,Neighborhood (UHF 42),504,South Beach - Tottenville,2009,15.6,504,South Beach - Tottenville,Annual Average 2009,14.71,504,South Beach - Tottenville,Annual Average 2009,9.63
127504,172,3,125,90,13,Heart Attack Hospitalizations,Age-Adjusted Rate - Adults 35 to 64 Yrs Old,UHF42,Neighborhood (UHF 42),101,Kingsbridge - Riverdale,2010,11.5,101,Kingsbridge - Riverdale,Annual Average 2010,20.13,101,Kingsbridge - Riverdale,Annual Average 2010,10.09
127506,172,3,125,90,13,Heart Attack Hospitalizations,Age-Adjusted Rate - Adults 35 to 64 Yrs Old,UHF42,Neighborhood (UHF 42),102,Northeast Bronx,2010,11.6,102,Northeast Bronx,Annual Average 2010,20.21,102,Northeast Bronx,Annual Average 2010,9.65
127508,172,3,125,90,13,Heart Attack Hospitalizations,Age-Adjusted Rate - Adults 35 to 64 Yrs Old,UHF42,Neighborhood (UHF 42),103,Fordham - Bronx Pk,2010,16.6,103,Fordham - Bronx Pk,Annual Average 2010,22.06,103,Fordham - Bronx Pk,Annual Average 2010,10.26
127510,172,3,125,90,13,Heart Attack Hospitalizations,Age-Adjusted Rate - Adults 35 to 64 Yrs Old,UHF42,Neighborhood (UHF 42),104,Pelham - Throgs Neck,2010,16.7,104,Pelham - Throgs Neck,Annual Average 2010,21.04,104,Pelham - Throgs Neck,Annual Average 2010,9.68
127512,172,3,125,90,13,Heart Attack Hospitalizations,Age-Adjusted Rate - Adults 35 to 64 Yrs Old,UHF42,Neighborhood (UHF 42),105,Crotona -Tremont,2010,17.9,105,Crotona -Tremont,Annual Average 2010,25.25,105,Crotona -Tremont,Annual Average 2010,10.99
127514,172,3,125,90,13,Heart Attack Hospitalizations,Age-Adjusted Rate - Adults 35 to 64 Yrs Old,UHF42,Neighborhood (UHF 42),106,High Bridge - Morrisania,2010,22.7,106,High Bridge - Morrisania,Annual Average 2010,26.38,106,High Bridge - Morrisania,Annual Average 2010,11
127516,172,3,125,90,13,Heart Attack Hospitalizations,Age-Adjusted Rate - Adults 35 to 64 Yrs Old,UHF42,Neighborhood (UHF 42),107,Hunts Point - Mott Haven,2010,26.4,107,Hunts Point - Mott Haven,Annual Average 2010,24.1,107,Hunts Point - Mott Haven,Annual Average 2010,10.48
127518,172,3,125,90,13,Heart Attack Hospitalizations,Age-Adjusted Rate - Adults 35 to 64 Yrs Old,UHF42,Neighborhood (UHF 42),201,Greenpoint,2010,15.7,201,Greenpoint,Annual Average 2010,25.08,201,Greenpoint,Annual Average 2010,10.57
127520,172,3,125,90,13,Heart Attack Hospitalizations,Age-Adjusted Rate - Adults 35 to 64 Yrs Old,UHF42,Neighborhood (UHF 42),202,Downtown - Heights - Slope,2010,10.7,202,Downtown - Heights - Slope,Annual Average 2010,26.46,202,Downtown - Heights - Slope,Annual Average 2010,10.49
127522,172,3,125,90,13,Heart Attack Hospitalizations,Age-Adjusted Rate - Adults 35 to 64 Yrs Old,UHF42,Neighborhood (UHF 42),203,Bedford Stuyvesant - Crown Heights,2010,17.9,203,Bedford Stuyvesant - Crown Heights,Annual Average 2010,25.17,203,Bedford Stuyvesant - Crown Heights,Annual Average 2010,9.93
127524,172,3,125,90,13,Heart Attack Hospitalizations,Age-Adjusted Rate - Adults 35 to 64 Yrs Old,UHF42,Neighborhood (UHF 42),204,East New York,2010,23.1,204,East New York,Annual Average 2010,22.49,204,East New York,Annual Average 2010,9.79
127526,172,3,125,90,13,Heart Attack Hospitalizations,Age-Adjusted Rate - Adults 35 to 64 Yrs Old,UHF42,Neighborhood (UHF 42),205,Sunset Park,2010,14,205,Sunset Park,Annual Average 2010,23.77,205,Sunset Park,Annual Average 2010,10.21
127528,172,3,125,90,13,Heart Attack Hospitalizations,Age-Adjusted Rate - Adults 35 to 64 Yrs Old,UHF42,Neighborhood (UHF 42),206,Borough Park,2010,15.8,206,Borough Park,Annual Average 2010,23.43,206,Borough Park,Annual Average 2010,9.61
127530,172,3,125,90,13,Heart Attack Hospitalizations,Age-Adjusted Rate - Adults 35 to 64 Yrs Old,UHF42,Neighborhood (UHF 42),207,East Flatbush - Flatbush,2010,12,207,East Flatbush - Flatbush,Annual Average 2010,23.64,207,East Flatbush - Flatbush,Annual Average 2010,9.8
127532,172,3,125,90,13,Heart Attack Hospitalizations,Age-Adjusted Rate - Adults 35 to 64 Yrs Old,UHF42,Neighborhood (UHF 42),208,Canarsie - Flatlands,2010,12.5,208,Canarsie - Flatlands,Annual Average 2010,19.1,208,Canarsie - Flatlands,Annual Average 2010,9.12
127534,172,3,125,90,13,Heart Attack Hospitalizations,Age-Adjusted Rate - Adults 35 to 64 Yrs Old,UHF42,Neighborhood (UHF 42),209,Bensonhurst - Bay Ridge,2010,13.7,209,Bensonhurst - Bay Ridge,Annual Average 2010,21.48,209,Bensonhurst - Bay Ridge,Annual Average 2010,9.18
127536,172,3,125,90,13,Heart Attack Hospitalizations,Age-Adjusted Rate - Adults 35 to 64 Yrs Old,UHF42,Neighborhood (UHF 42),210,Coney Island - Sheepshead Bay,2010,14.7,210,Coney Island - Sheepshead Bay,Annual Average 2010,19.01,210,Coney Island - Sheepshead Bay,Annual Average 2010,8.89
127538,172,3,125,90,13,Heart Attack Hospitalizations,Age-Adjusted Rate - Adults 35 to 64 Yrs Old,UHF42,Neighborhood (UHF 42),211,Williamsburg - Bushwick,2010,24.7,211,Williamsburg - Bushwick,Annual Average 2010,25.31,211,Williamsburg - Bushwick,Annual Average 2010,10.33
127540,172,3,125,90,13,Heart Attack Hospitalizations,Age-Adjusted Rate - Adults 35 to 64 Yrs Old,UHF42,Neighborhood (UHF 42),301,Washington Heights,2010,12.9,301,Washington Heights,Annual Average 2010,25.22,301,Washington Heights,Annual Average 2010,10.71
127542,172,3,125,90,13,Heart Attack Hospitalizations,Age-Adjusted Rate - Adults 35 to 64 Yrs Old,UHF42,Neighborhood (UHF 42),302,Central Harlem - Morningside Heights,2010,15.2,302,Central Harlem - Morningside Heights,Annual Average 2010,27.83,302,Central Harlem - Morningside Heights,Annual Average 2010,10.62
127544,172,3,125,90,13,Heart Attack Hospitalizations,Age-Adjusted Rate - Adults 35 to 64 Yrs Old,UHF42,Neighborhood (UHF 42),303,East Harlem,2010,20.8,303,East Harlem,Annual Average 2010,27.07,303,East Harlem,Annual Average 2010,10.41
127546,172,3,125,90,13,Heart Attack Hospitalizations,Age-Adjusted Rate - Adults 35 to 64 Yrs Old,UHF42,Neighborhood (UHF 42),304,Upper West Side,2010,6,304,Upper West Side,Annual Average 2010,28.66,304,Upper West Side,Annual Average 2010,11.01
127548,172,3,125,90,13,Heart Attack Hospitalizations,Age-Adjusted Rate - Adults 35 to 64 Yrs Old,UHF42,Neighborhood (UHF 42),305,Upper East Side,2010,6.6,305,Upper East Side,Annual Average 2010,31.02,305,Upper East Side,Annual Average 2010,11.83
127550,172,3,125,90,13,Heart Attack Hospitalizations,Age-Adjusted Rate - Adults 35 to 64 Yrs Old,UHF42,Neighborhood (UHF 42),306,Chelsea - Clinton,2010,7.2,306,Chelsea - Clinton,Annual Average 2010,36.03,306,Chelsea - Clinton,Annual Average 2010,13.21
127552,172,3,125,90,13,Heart Attack Hospitalizations,Age-Adjusted Rate - Adults 35 to 64 Yrs Old,UHF42,Neighborhood (UHF 42),307,Gramercy Park - Murray Hill,2010,8.4,307,Gramercy Park - Murray Hill,Annual Average 2010,39.17,307,Gramercy Park - Murray Hill,Annual Average 2010,14.24
127554,172,3,125,90,13,Heart Attack Hospitalizations,Age-Adjusted Rate - Adults 35 to 64 Yrs Old,UHF42,Neighborhood (UHF 42),308,Greenwich Village - SoHo,2010,5.4,308,Greenwich Village - SoHo,Annual Average 2010,31.8,308,Greenwich Village - SoHo,Annual Average 2010,11.56
127556,172,3,125,90,13,Heart Attack Hospitalizations,Age-Adjusted Rate - Adults 35 to 64 Yrs Old,UHF42,Neighborhood (UHF 42),309,Union Square - Lower East Side,2010,8.3,309,Union Square - Lower East Side,Annual Average 2010,29.99,309,Union Square - Lower East Side,Annual Average 2010,10.87
127558,172,3,125,90,13,Heart Attack Hospitalizations,Age-Adjusted Rate - Adults 35 to 64 Yrs Old,UHF42,Neighborhood (UHF 42),310,Lower Manhattan,2010,6.8,310,Lower Manhattan,Annual Average 2010,33.48,310,Lower Manhattan,Annual Average 2010,12.19
127560,172,3,125,90,13,Heart Attack Hospitalizations,Age-Adjusted Rate - Adults 35 to 64 Yrs Old,UHF42,Neighborhood (UHF 42),401,Long Island City - Astoria,2010,14.3,401,Long Island City - Astoria,Annual Average 2010,24.32,401,Long Island City - Astoria,Annual Average 2010,10.05
127562,172,3,125,90,13,Heart Attack Hospitalizations,Age-Adjusted Rate - Adults 35 to 64 Yrs Old,UHF42,Neighborhood (UHF 42),402,West Queens,2010,10.8,402,West Queens,Annual Average 2010,24.18,402,West Queens,Annual Average 2010,9.89
127564,172,3,125,90,13,Heart Attack Hospitalizations,Age-Adjusted Rate - Adults 35 to 64 Yrs Old,UHF42,Neighborhood (UHF 42),403,Flushing - Clearview,2010,9.3,403,Flushing - Clearview,Annual Average 2010,21.48,403,Flushing - Clearview,Annual Average 2010,9.34
127566,172,3,125,90,13,Heart Attack Hospitalizations,Age-Adjusted Rate - Adults 35 to 64 Yrs Old,UHF42,Neighborhood (UHF 42),404,Bayside - Little Neck,2010,5.7,404,Bayside - Little Neck,Annual Average 2010,19.23,404,Bayside - Little Neck,Annual Average 2010,8.98
127568,172,3,125,90,13,Heart Attack Hospitalizations,Age-Adjusted Rate - Adults 35 to 64 Yrs Old,UHF42,Neighborhood (UHF 42),405,Ridgewood - Forest Hills,2010,14.8,405,Ridgewood - Forest Hills,Annual Average 2010,22.61,405,Ridgewood - Forest Hills,Annual Average 2010,9.52
127570,172,3,125,90,13,Heart Attack Hospitalizations,Age-Adjusted Rate - Adults 35 to 64 Yrs Old,UHF42,Neighborhood (UHF 42),406,Fresh Meadows,2010,10.4,406,Fresh Meadows,Annual Average 2010,21.67,406,Fresh Meadows,Annual Average 2010,9.25
127572,172,3,125,90,13,Heart Attack Hospitalizations,Age-Adjusted Rate - Adults 35 to 64 Yrs Old,UHF42,Neighborhood (UHF 42),407,Southwest Queens,2010,28.9,407,Southwest Queens,Annual Average 2010,21.7,407,Southwest Queens,Annual Average 2010,9.19
127574,172,3,125,90,13,Heart Attack Hospitalizations,Age-Adjusted Rate - Adults 35 to 64 Yrs Old,UHF42,Neighborhood (UHF 42),408,Jamaica,2010,20.8,408,Jamaica,Annual Average 2010,21.22,408,Jamaica,Annual Average 2010,9.25
127576,172,3,125,90,13,Heart Attack Hospitalizations,Age-Adjusted Rate - Adults 35 to 64 Yrs Old,UHF42,Neighborhood (UHF 42),409,Southeast Queens,2010,14.1,409,Southeast Queens,Annual Average 2010,19.1,409,Southeast Queens,Annual Average 2010,8.65
127578,172,3,125,90,13,Heart Attack Hospitalizations,Age-Adjusted Rate - Adults 35 to 64 Yrs Old,UHF42,Neighborhood (UHF 42),410,Rockaways,2010,15.6,410,Rockaways,Annual Average 2010,14.07,410,Rockaways,Annual Average 2010,7.99
127580,172,3,125,90,13,Heart Attack Hospitalizations,Age-Adjusted Rate - Adults 35 to 64 Yrs Old,UHF42,Neighborhood (UHF 42),501,Port Richmond,2010,15.6,501,Port Richmond,Annual Average 2010,19.79,501,Port Richmond,Annual Average 2010,9.02
127582,172,3,125,90,13,Heart Attack Hospitalizations,Age-Adjusted Rate - Adults 35 to 64 Yrs Old,UHF42,Neighborhood (UHF 42),502,Stapleton - St. George,2010,15.7,502,Stapleton - St. George,Annual Average 2010,17.38,502,Stapleton - St. George,Annual Average 2010,8.64
127584,172,3,125,90,13,Heart Attack Hospitalizations,Age-Adjusted Rate - Adults 35 to 64 Yrs Old,UHF42,Neighborhood (UHF 42),503,Willowbrook,2010,13.7,503,Willowbrook,Annual Average 2010,16,503,Willowbrook,Annual Average 2010,8.99
127586,172,3,125,90,13,Heart Attack Hospitalizations,Age-Adjusted Rate - Adults 35 to 64 Yrs Old,UHF42,Neighborhood (UHF 42),504,South Beach - Tottenville,2010,17,504,South Beach - Tottenville,Annual Average 2010,13.05,504,South Beach - Tottenville,Annual Average 2010,8.71
127505,172,3,125,90,13,Heart Attack Hospitalizations,Age-Adjusted Rate - Adults 35 to 64 Yrs Old,UHF42,Neighborhood (UHF 42),101,Kingsbridge - Riverdale,2011,8.7,101,Kingsbridge - Riverdale,Annual Average 2011,20.79,101,Kingsbridge - Riverdale,Annual Average 2011,10.65
127507,172,3,125,90,13,Heart Attack Hospitalizations,Age-Adjusted Rate - Adults 35 to 64 Yrs Old,UHF42,Neighborhood (UHF 42),102,Northeast Bronx,2011,14.6,102,Northeast Bronx,Annual Average 2011,21.06,102,Northeast Bronx,Annual Average 2011,10.48
127509,172,3,125,90,13,Heart Attack Hospitalizations,Age-Adjusted Rate - Adults 35 to 64 Yrs Old,UHF42,Neighborhood (UHF 42),103,Fordham - Bronx Pk,2011,17.2,103,Fordham - Bronx Pk,Annual Average 2011,22.61,103,Fordham - Bronx Pk,Annual Average 2011,10.77
127511,172,3,125,90,13,Heart Attack Hospitalizations,Age-Adjusted Rate - Adults 35 to 64 Yrs Old,UHF42,Neighborhood (UHF 42),104,Pelham - Throgs Neck,2011,17.7,104,Pelham - Throgs Neck,Annual Average 2011,21.61,104,Pelham - Throgs Neck,Annual Average 2011,10.5
127513,172,3,125,90,13,Heart Attack Hospitalizations,Age-Adjusted Rate - Adults 35 to 64 Yrs Old,UHF42,Neighborhood (UHF 42),105,Crotona -Tremont,2011,19.5,105,Crotona -Tremont,Annual Average 2011,25.57,105,Crotona -Tremont,Annual Average 2011,11.45
127515,172,3,125,90,13,Heart Attack Hospitalizations,Age-Adjusted Rate - Adults 35 to 64 Yrs Old,UHF42,Neighborhood (UHF 42),106,High Bridge - Morrisania,2011,22.9,106,High Bridge - Morrisania,Annual Average 2011,26.67,106,High Bridge - Morrisania,Annual Average 2011,11.44
127517,172,3,125,90,13,Heart Attack Hospitalizations,Age-Adjusted Rate - Adults 35 to 64 Yrs Old,UHF42,Neighborhood (UHF 42),107,Hunts Point - Mott Haven,2011,28.5,107,Hunts Point - Mott Haven,Annual Average 2011,24.58,107,Hunts Point - Mott Haven,Annual Average 2011,11.24
127519,172,3,125,90,13,Heart Attack Hospitalizations,Age-Adjusted Rate - Adults 35 to 64 Yrs Old,UHF42,Neighborhood (UHF 42),201,Greenpoint,2011,16.2,201,Greenpoint,Annual Average 2011,25.84,201,Greenpoint,Annual Average 2011,11.51
127521,172,3,125,90,13,Heart Attack Hospitalizations,Age-Adjusted Rate - Adults 35 to 64 Yrs Old,UHF42,Neighborhood (UHF 42),202,Downtown - Heights - Slope,2011,10.5,202,Downtown - Heights - Slope,Annual Average 2011,26.64,202,Downtown - Heights - Slope,Annual Average 2011,11.14
127523,172,3,125,90,13,Heart Attack Hospitalizations,Age-Adjusted Rate - Adults 35 to 64 Yrs Old,UHF42,Neighborhood (UHF 42),203,Bedford Stuyvesant - Crown Heights,2011,17.9,203,Bedford Stuyvesant - Crown Heights,Annual Average 2011,25.3,203,Bedford Stuyvesant - Crown Heights,Annual Average 2011,10.29
127525,172,3,125,90,13,Heart Attack Hospitalizations,Age-Adjusted Rate - Adults 35 to 64 Yrs Old,UHF42,Neighborhood (UHF 42),204,East New York,2011,23.1,204,East New York,Annual Average 2011,22.9,204,East New York,Annual Average 2011,10.09
